Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2012-12-01,EIN,136,BOS,DUB,E,,2,,false,,2012-12-01T18:15,2012-12-01T18:30,2012-12-01T18:28,2012-12-01T18:45,2012-12-02T04:46,,2012-12-02T05:25,2012-12-02T05:21,,,,,,,,,130e6519-538c-412b-87e7-100df27475aa,a4a016d4-2a72-44e9-8708-6ed6a5a9d2d1,813ec62f-c303-44d9-a041-a4434d6fd652,5dc01a9f-6855-4248-8e7b-0fef83144078,,
2012-12-12,EIN,137,DUB,BOS,2,,E,,false,,2012-12-12T14:00,2012-12-12T14:08,2012-12-12T14:10,2012-12-12T14:09,2012-12-12T15:54,2012-12-12T16:07,2012-12-12T16:05,2012-12-12T16:16,,,,,,,,,0729215f-3e7b-42c0-a0b8-daa3d2583203,a4a016d4-2a72-44e9-8708-6ed6a5a9d2d1,5dc01a9f-6855-4248-8e7b-0fef83144078,813ec62f-c303-44d9-a041-a4434d6fd652,,
2015-04-11,UAL,15,EWR,HNL,C,123,M,13,false,,2015-04-11T09:10,2015-04-11T09:09,2015-04-11T09:34,2015-04-11T09:33,2015-04-11T13:08,2015-04-11T13:46,2015-04-11T14:15,2015-04-11T14:04,Boeing 767-400,N76065,,,,,,,850550e9-f9e0-427e-8449-3ec858863689,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,520bf633-9001-4347-9db0-5aa228ee7c30,,dae07e29-15b1-4f35-9552-d70888135843
2015-04-11,UAL,5008,BDL,EWR,Main,20,C,115,false,,2015-04-11T10:22,2015-04-11T11:26,2015-04-11T11:34,2015-04-11T11:40,2015-04-11T12:18,2015-04-11T12:33,2015-04-11T11:32,2015-04-11T12:43,"DHC-8-200 Dash 8 ",N362PH,,,,,,,4f66428b-1e0f-49e5-9ad2-4dbade6cb1bd,b57b4c86-4724-48f1-80be-d7de4036004a,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,4427d229-a1e2-4955-81fa-9b5c0f103f12,,597a2edf-ac70-4a8f-b1d5-4fc3d11f7c67
2015-04-20,UAL,14,HNL,EWR,M,6,C,102,false,,2015-04-20T20:10,2015-04-20T20:28,2015-04-20T20:27,2015-04-20T20:51,2015-04-21T11:26,2015-04-21T11:55,2015-04-21T11:57,2015-04-21T12:04,Boeing 767-400,N76065,,,,,,,e8d4bcf4-cc9e-417d-bf70-0c1acb246d87,b57b4c86-4724-48f1-80be-d7de4036004a,520bf633-9001-4347-9db0-5aa228ee7c30,4427d229-a1e2-4955-81fa-9b5c0f103f12,,dae07e29-15b1-4f35-9552-d70888135843
2015-04-21,UAL,4241,EWR,BDL,A,27,Main,20,false,,2015-04-21T11:26,2015-04-21T11:48,2015-04-21T12:09,2015-04-21T12:09,2015-04-21T11:58,2015-04-21T12:39,2015-04-21T12:21,2015-04-21T12:44,Embraer RJ145,N26545,,,,,,,256940ba-0ce9-461d-9710-c2915ed67e23,b57b4c86-4724-48f1-80be-d7de4036004a,4427d229-a1e2-4955-81fa-9b5c0f103f12,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,6358f527-1221-47d3-9170-26351f84ac05
2019-05-11,SWA,3788,BWI,BDL,Main,,Main,,false,,2019-05-11T08:05,2019-05-11T08:13,,2019-05-11T08:27,2019-05-11T08:05,2019-05-11T08:05,2019-05-11T09:15,2019-05-11T09:17,Boeing 737-700,N7713A,,,,,,,229c502c-b2b9-4bca-b293-98c4543e88a5,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2019-07-07,AAL,1690,BDL,CLT,Main,,Main,,false,,2019-07-07T06:03,2019-07-07T15:23,,2019-07-07T15:36,2019-07-07T06:03,2019-07-07T06:03,2019-07-07T08:11,2019-07-07T17:13,Airbus A321,N922US,,,,,,,6d5ee72c-fc16-4931-8672-12e7b0047af4,ae1fc6a5-c42d-4e70-ba63-d641d248d270,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2019-07-07,AAL,4529,CLT,HHH,Main,C5,,4,false,,2019-07-07T09:18,2019-07-07T09:12,2019-07-07T09:35,2019-07-07T09:40,2019-07-07T10:15,2019-07-07T10:20,2019-07-07T10:23,2019-07-07T10:26,Embraer 175,N120HQ,,,,,,,277711de-7356-4a54-ae75-3334d7342945,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,8d8482bd-95b2-4b59-b774-b4cf0e844d8c,,36728d5b-40cd-46ec-93ba-8822376b565d
2019-12-11,SWA,52,BDL,BWI,Main,,Main,,false,,2019-12-11T12:35,2019-12-11T12:37,,2019-12-11T12:43,2019-12-11T12:35,2019-12-11T12:35,2019-12-11T13:50,2019-12-11T14:01,Boeing 737-700,N7854B,W5GT7Y,,,,,,a69d8ec8-b3a4-4dcb-b5d7-28c6d4f007ca,be4c4286-2c02-4dca-86d4-56e19aa348f7,82ad5ec0-c83c-42bb-91b7-f6c4e1e09e8c,4923b37c-381e-48e6-ba91-7c75d4151f64,,886c3a0c-c7a3-4205-982f-35cddc765ae1
